features:,relative_day,
response:,up_cat
C,apple,amazon,facebook,google,microsoft,netflix,tesla,
0.02,0.5238095238095238,0.6190476190476191,0.5238095238095238,0.5,0.5873015873015873,0.47619047619047616,0.4603174603174603,
0.05,0.5238095238095238,0.6190476190476191,0.5238095238095238,0.5,0.5873015873015873,0.47619047619047616,0.4603174603174603,
0.1,0.5238095238095238,0.6190476190476191,0.5238095238095238,0.5,0.5873015873015873,0.47619047619047616,0.4603174603174603,
0.2,0.5238095238095238,0.6190476190476191,0.5238095238095238,0.5,0.5873015873015873,0.47619047619047616,0.4603174603174603,
0.5,0.5238095238095238,0.6190476190476191,0.5238095238095238,0.5,0.5873015873015873,0.47619047619047616,0.4603174603174603,
1,0.5396825396825397,0.6031746031746031,0.5079365079365079,0.5,0.5714285714285714,0.4603174603174603,0.3968253968253968,
2,0.42857142857142855,0.49206349206349204,0.3492063492063492,0.4444444444444444,0.42857142857142855,0.31746031746031744,0.36507936507936506,
5,0.42857142857142855,0.49206349206349204,0.3492063492063492,0.4444444444444444,0.42857142857142855,0.31746031746031744,0.36507936507936506,

features:,past_3_days_senti_avg,
response:,up_cat
C,apple,amazon,facebook,google,microsoft,netflix,tesla,
0.02,0.5238095238095238,0.6190476190476191,0.5238095238095238,0.5,0.5873015873015873,0.47619047619047616,0.4603174603174603,
0.05,0.5238095238095238,0.6190476190476191,0.5238095238095238,0.5,0.5873015873015873,0.47619047619047616,0.4603174603174603,
0.1,0.5238095238095238,0.6190476190476191,0.5238095238095238,0.5,0.5873015873015873,0.47619047619047616,0.4603174603174603,
0.2,0.5238095238095238,0.6190476190476191,0.5238095238095238,0.5,0.5873015873015873,0.47619047619047616,0.4603174603174603,
0.5,0.5238095238095238,0.6190476190476191,0.5238095238095238,0.5,0.5873015873015873,0.47619047619047616,0.4603174603174603,
1,0.5238095238095238,0.6190476190476191,0.5238095238095238,0.5,0.5873015873015873,0.47619047619047616,0.4603174603174603,
2,0.5238095238095238,0.6190476190476191,0.5238095238095238,0.5,0.5873015873015873,0.47619047619047616,0.4603174603174603,
5,0.5238095238095238,0.6190476190476191,0.5238095238095238,0.5,0.5873015873015873,0.47619047619047616,0.4603174603174603,

features:,past_7_days_senti_avg,
response:,up_cat
C,apple,amazon,facebook,google,microsoft,netflix,tesla,
0.02,0.5238095238095238,0.6190476190476191,0.5238095238095238,0.5,0.5873015873015873,0.47619047619047616,0.4603174603174603,
0.05,0.5238095238095238,0.6190476190476191,0.5238095238095238,0.5,0.5873015873015873,0.47619047619047616,0.4603174603174603,
0.1,0.5238095238095238,0.6190476190476191,0.5238095238095238,0.5,0.5873015873015873,0.47619047619047616,0.4603174603174603,
0.2,0.5238095238095238,0.6190476190476191,0.5238095238095238,0.5,0.5873015873015873,0.47619047619047616,0.4603174603174603,
0.5,0.5238095238095238,0.6190476190476191,0.5238095238095238,0.5,0.5873015873015873,0.47619047619047616,0.4603174603174603,
1,0.5238095238095238,0.6190476190476191,0.5238095238095238,0.5,0.5873015873015873,0.47619047619047616,0.4603174603174603,
2,0.5238095238095238,0.6190476190476191,0.5238095238095238,0.5,0.5873015873015873,0.47619047619047616,0.4603174603174603,
5,0.5238095238095238,0.6190476190476191,0.5238095238095238,0.5,0.5873015873015873,0.47619047619047616,0.4603174603174603,

features:,1_day_sentiment_score,
response:,up_cat
C,apple,amazon,facebook,google,microsoft,netflix,tesla,
0.02,0.5238095238095238,0.6190476190476191,0.5238095238095238,0.5,0.5873015873015873,0.47619047619047616,0.4603174603174603,
0.05,0.5238095238095238,0.6190476190476191,0.5238095238095238,0.5,0.5873015873015873,0.47619047619047616,0.4603174603174603,
0.1,0.5238095238095238,0.6190476190476191,0.5238095238095238,0.5,0.5873015873015873,0.47619047619047616,0.4603174603174603,
0.2,0.5238095238095238,0.6190476190476191,0.5238095238095238,0.5,0.5873015873015873,0.47619047619047616,0.4603174603174603,
0.5,0.5238095238095238,0.6190476190476191,0.5238095238095238,0.5,0.5873015873015873,0.47619047619047616,0.4603174603174603,
1,0.5238095238095238,0.6190476190476191,0.5238095238095238,0.5,0.5873015873015873,0.47619047619047616,0.4603174603174603,
2,0.5238095238095238,0.6190476190476191,0.5238095238095238,0.5,0.5873015873015873,0.47619047619047616,0.4603174603174603,
5,0.5238095238095238,0.6190476190476191,0.5238095238095238,0.5,0.5873015873015873,0.47619047619047616,0.4603174603174603,

features:,1_day_news_count,
response:,up_cat
C,apple,amazon,facebook,google,microsoft,netflix,tesla,
0.02,0.5238095238095238,0.6190476190476191,0.5238095238095238,0.5,0.5873015873015873,0.47619047619047616,0.4603174603174603,
0.05,0.5238095238095238,0.6190476190476191,0.5238095238095238,0.5,0.5873015873015873,0.47619047619047616,0.4603174603174603,
0.1,0.5238095238095238,0.6190476190476191,0.5238095238095238,0.5,0.5873015873015873,0.47619047619047616,0.4603174603174603,
0.2,0.5238095238095238,0.6190476190476191,0.5238095238095238,0.5,0.5873015873015873,0.47619047619047616,0.4603174603174603,
0.5,0.5238095238095238,0.6190476190476191,0.5238095238095238,0.5,0.5714285714285714,0.47619047619047616,0.4603174603174603,
1,0.47619047619047616,0.6031746031746031,0.49206349206349204,0.5,0.49206349206349204,0.42857142857142855,0.3492063492063492,
2,0.49206349206349204,0.5714285714285714,0.47619047619047616,0.5,0.4126984126984127,0.3968253968253968,0.3492063492063492,
5,0.49206349206349204,0.5714285714285714,0.47619047619047616,0.5,0.4126984126984127,0.3968253968253968,0.3492063492063492,

features:,1_day_overall_sentiment_score,
response:,up_cat
C,apple,amazon,facebook,google,microsoft,netflix,tesla,
0.02,0.5238095238095238,0.6190476190476191,0.5238095238095238,0.5,0.5873015873015873,0.47619047619047616,0.4603174603174603,
0.05,0.5238095238095238,0.6190476190476191,0.5238095238095238,0.5,0.5873015873015873,0.47619047619047616,0.4603174603174603,
0.1,0.5238095238095238,0.6190476190476191,0.5238095238095238,0.5,0.5873015873015873,0.47619047619047616,0.4603174603174603,
0.2,0.5238095238095238,0.6190476190476191,0.5238095238095238,0.5,0.5873015873015873,0.47619047619047616,0.4444444444444444,
0.5,0.5238095238095238,0.6190476190476191,0.5079365079365079,0.5,0.6031746031746031,0.49206349206349204,0.31746031746031744,
1,0.5238095238095238,0.5238095238095238,0.3968253968253968,0.5,0.5555555555555556,0.38095238095238093,0.2222222222222222,
2,0.4603174603174603,0.47619047619047616,0.3968253968253968,0.5,0.5079365079365079,0.2857142857142857,0.20634920634920634,
5,0.42857142857142855,0.4603174603174603,0.38095238095238093,0.5,0.42857142857142855,0.2698412698412698,0.23809523809523808,

features:,relative_day,past_3_days_senti_avg,
response:,up_cat
C,apple,amazon,facebook,google,microsoft,netflix,tesla,
0.02,0.5238095238095238,0.6190476190476191,0.5238095238095238,0.5,0.5873015873015873,0.47619047619047616,0.4603174603174603,
0.05,0.5238095238095238,0.6190476190476191,0.5238095238095238,0.5,0.5873015873015873,0.47619047619047616,0.4603174603174603,
0.1,0.5238095238095238,0.6190476190476191,0.5238095238095238,0.5,0.5873015873015873,0.47619047619047616,0.4603174603174603,
0.2,0.5238095238095238,0.6190476190476191,0.5238095238095238,0.5,0.5873015873015873,0.47619047619047616,0.4603174603174603,
0.5,0.5238095238095238,0.6190476190476191,0.5238095238095238,0.5,0.5873015873015873,0.47619047619047616,0.47619047619047616,
1,0.5238095238095238,0.6349206349206349,0.4444444444444444,0.5,0.5238095238095238,0.31746031746031744,0.38095238095238093,
2,0.31746031746031744,0.4603174603174603,0.2698412698412698,0.3888888888888889,0.30158730158730157,0.2857142857142857,0.2857142857142857,
5,0.3333333333333333,0.4444444444444444,0.2698412698412698,0.3888888888888889,0.30158730158730157,0.2857142857142857,0.2857142857142857,

features:,relative_day,past_7_days_senti_avg,
response:,up_cat
C,apple,amazon,facebook,google,microsoft,netflix,tesla,
0.02,0.5238095238095238,0.6190476190476191,0.5238095238095238,0.5,0.5873015873015873,0.47619047619047616,0.4603174603174603,
0.05,0.5238095238095238,0.6190476190476191,0.5238095238095238,0.5,0.5873015873015873,0.47619047619047616,0.4603174603174603,
0.1,0.5238095238095238,0.6190476190476191,0.5238095238095238,0.5,0.5873015873015873,0.47619047619047616,0.4603174603174603,
0.2,0.5238095238095238,0.6190476190476191,0.5238095238095238,0.5,0.5873015873015873,0.47619047619047616,0.4603174603174603,
0.5,0.5238095238095238,0.6190476190476191,0.5238095238095238,0.5,0.5873015873015873,0.47619047619047616,0.47619047619047616,
1,0.5238095238095238,0.6349206349206349,0.4444444444444444,0.5,0.5238095238095238,0.31746031746031744,0.38095238095238093,
2,0.31746031746031744,0.4603174603174603,0.2698412698412698,0.3888888888888889,0.30158730158730157,0.2857142857142857,0.2857142857142857,
5,0.3333333333333333,0.4444444444444444,0.2698412698412698,0.3888888888888889,0.30158730158730157,0.2857142857142857,0.2857142857142857,



