relative_day,up_rate,up_cat,1_day_sentiment_score,past_7_days_senti_avg,past_3_days_senti_avg,1_day_news_count,1_day_overall_sentiment_score,open,high,low,close,volume,company_amazon,company_apple,company_facebook,company_google,company_microsoft,company_netflix,company_tesla
120,0.049071082,1,0.104236814,0.045859056,0.040931222,1474,153.6450643,207.17,212.53,206.53,207.8,64827300,0,1,0,0,0,0,0
1,0,0,0.073407562,0.040291995,0.031347659,2168,159.1475941,152.24,156.13,151.59,155.21,37039700,0,1,0,0,0,0,0
2,-0.099606984,-2,0.073354096,0.042419085,0.055816847,1306,95.80044882,141.51,143.22,139.57,139.75,91312200,0,1,0,0,0,0,0
8,0,0,0.057627515,0.020965951,0,783,45.12234437,148.7,151.88,147.07,150.68,45099100,0,1,0,0,0,0,0
9,0.003185559,0,0.08113021,0.018711659,0.019209172,1170,94.9223462,149.89,151.33,148.28,151.16,35780700,0,1,0,0,0,0,0
31,0.000489027,0,0.109153206,0.05389952,0.075194611,546,59.59765031,164.1,166.08,163.09,163.67,32668100,0,1,0,0,0,0,0
34,0,0,0.065864707,0.055800527,0.036384402,1183,77.91794863,164.54,168.72,164.41,168.32,31495500,0,1,0,0,0,0,0
35,0.017110266,1,0.090164994,0.057228821,0.021954902,1519,136.9606256,169.9,172.08,169.4,171.2,36101600,0,1,0,0,0,0,0
36,0.000292056,0,0.069342956,0.063574307,0.0520099,1618,112.1969032,171.66,172.56,169.89,171.25,28239600,0,1,0,0,0,0,0
37,-0.018919708,-1,0.044195172,0.057867237,0.075124219,2455,108.499147,169.45,170.96,167.42,168.01,31741700,0,1,0,0,0,0,0
38,0.001190405,0,0.107426297,0.054103005,0.067901041,2137,229.5699959,166.81,168.46,166.24,168.21,23820000,0,1,0,0,0,0,0
41,0,0,0.080795223,0.053856304,0.035808766,1590,128.4644051,168.84,169,167.06,167.24,20993400,0,1,0,0,0,0,0
42,0.00861038,0,0.063270522,0.055989235,0.026931741,1846,116.7973831,167.9,168.79,167.51,168.68,22283500,0,1,0,0,0,0,0
43,-0.00414987,0,0.09975345,0.052147167,0.048021915,2137,213.1731226,169.18,170.25,167.72,167.98,22490200,0,1,0,0,0,0,0
44,0.003631385,0,0.135070797,0.056491523,0.081273065,1834,247.7198408,167.52,169.05,167.19,168.59,21835700,0,1,0,0,0,0,0
45,-0.002194673,0,0.112446085,0.069473755,0.099364923,2079,233.775411,169.04,169.48,167.56,168.22,24626800,0,1,0,0,0,0,0
49,0,0,0.131307379,0.058648693,0,1822,239.2420437,167.52,169.23,167.3,168.72,18972800,0,1,0,0,0,0,0
50,0.006460408,0,0.090595184,0.068368244,0.043769126,1623,147.0359829,168.98,171.08,168.78,169.81,26114400,0,1,0,0,0,0,0
51,-0.005653377,0,0.059499495,0.067059921,0.073967521,2133,126.9124221,169.58,170.14,168.1,168.85,17249700,0,1,0,0,0,0,0
52,0.011193367,1,0.05411107,0.05626402,0.093800686,1941,105.0295869,169.36,170.76,169.17,170.74,18913200,0,1,0,0,0,0,0
55,0,0,0.097284531,0.047930447,0.018037023,1330,129.3884267,171.91,173.6,171.7,171.98,21873400,0,1,0,0,0,0,0
56,0.000581463,0,0.075259664,0.061828237,0.032428177,1308,98.43964105,171.47,173.04,170.93,172.08,17070200,0,1,0,0,0,0,0
57,0.003079963,0,0.070572402,0.053821421,0.057514732,1530,107.9757748,170.97,172.74,170.5,172.61,27835400,0,1,0,0,0,0,0
58,-0.009848792,0,0.088112716,0.050961023,0.081038866,1212,106.7926124,172.07,172.65,170.69,170.91,28215400,0,1,0,0,0,0,0
59,0.010531859,1,0.087370198,0.055048626,0.077981594,921,80.46795276,172.03,172.89,170.66,172.71,25886200,0,1,0,0,0,0,0
62,0,0,0.061588168,0.05979993,0.029123399,1566,96.4470715,173.42,175.45,171.72,173.58,27436200,0,1,0,0,0,0,0
63,-0.00184353,0,0.065391982,0.05470045,0.020529389,959,62.71091089,173.67,173.73,172.28,173.26,19737400,0,1,0,0,0,0,0
90,0,0,0.088305693,0.035576773,0.02984429,1108,97.84270803,189.16,189.2,185.95,188.77,27862000,0,1,0,0,0,0,0
91,0.014515018,1,0.097617353,0.048191872,0.029435231,823,80.33908161,188.62,191.95,188.58,191.51,22765700,0,1,0,0,0,0,0
92,0.00689259,0,0.087868316,0.062137208,0.061974349,1107,97.27022554,190.75,193.96,190.65,192.83,23271800,0,1,0,0,0,0,0
93,0.001711352,0,0.142372116,0.074689825,0.091263787,1880,267.6595789,192.27,193.83,190.64,193.16,19114300,0,1,0,0,0,0,0
94,0.006678401,0,0.124200432,0.072242336,0.109285928,1627,202.0741025,193.91,194.55,193.4,194.45,18526600,0,1,0,0,0,0,0
97,0,0,0.116667528,0.077194844,0.041400144,934,108.9674711,193.88,197.64,193.8,197.51,25881700,0,1,0,0,0,0,0
98,-0.002987191,0,0.115015285,0.081246535,0.038889176,1744,200.5866579,197.73,200.23,196.66,196.92,35768200,0,1,0,0,0,0,0
99,0.005636807,0,0.090514419,0.083731954,0.077227604,1689,152.8788539,196.11,198.15,195.62,198.03,21695300,0,1,0,0,0,0,0
100,-0.008332071,0,0.067155703,0.084109969,0.107399078,1748,117.3881687,198.26,198.4,195.88,196.38,20900800,0,1,0,0,0,0,0
101,-0.000407373,0,0.032992344,0.073364767,0.090895136,6769,223.3251798,196.63,197.55,193.67,196.3,27760700,0,1,0,0,0,0,0
104,0,0,0.051312814,0.06033504,0.010997448,1960,100.5731154,196.01,197.27,195.45,196.66,17536600,0,1,0,0,0,0,0
105,0.000101698,0,0.064392865,0.050998652,0.017104271,3266,210.3070976,196.88,198.77,195.99,196.68,25696400,0,1,0,0,0,0,0
106,0.019473256,1,0.094468507,0.043766878,0.03856856,2443,230.7865624,196.96,200.75,196.04,200.51,28906800,0,1,0,0,0,0,0
107,0.003590843,0,0.085845292,0.044331748,0.070058062,2349,201.6505909,200.5,201.51,199.9,201.23,24195800,0,1,0,0,0,0,0
111,0,0,0.106698315,0.042288497,0,1848,197.1784865,200.21,202.29,199.73,201.89,19439500,0,1,0,0,0,0,0
112,0.01441379,1,0.094199793,0.050200711,0.035566105,1773,167.0162328,201.79,205.07,201.27,204.8,23323000,0,1,0,0,0,0,0
113,-0.0015625,0,0.058892281,0.054458844,0.066966036,1992,117.3134229,204.68,205.79,204.37,204.48,17540600,0,1,0,0,0,0,0
114,-0.00904734,0,0.083912636,0.049376526,0.086596796,1728,145.0010343,204.16,205.08,202.47,202.63,18543200,0,1,0,0,0,0,0
115,-0.00478705,0,0.055414809,0.049100432,0.07900157,2300,127.4540597,202.25,202.35,199.51,201.66,18649100,0,1,0,0,0,0,0
118,0,0,0.043156774,0.057016833,0.018471603,1705,73.58229888,201.76,203.31,201.23,201.97,22204700,0,1,0,0,0,0,0
119,-0.019260286,-1,0.079636892,0.04793947,0.014385591,1474,117.3847788,200.44,200.77,196.54,198.08,46534900,0,1,0,0,0,0,0
121,-0.006496631,0,0.064595509,0.052336846,0.075676827,1142,73.76807179,207.13,209.9,205.44,206.45,31996300,0,1,0,0,0,0,0
122,0.012400097,1,0.126687972,0.049577257,0.082823072,1473,186.6113821,208.17,209.1,207.51,209.01,20892400,0,1,0,0,0,0,0
125,0,0,0.076546407,0.059759137,0.042229324,1346,103.0314643,201.65,206.14,200.87,205.79,32443100,0,1,0,0,0,0,0
126,-0.02696924,-1,0.087709435,0.064529085,0.025515469,1051,92.18261576,203.22,204.74,198.24,200.24,38763700,0,1,0,0,0,0,0
127,0.00019976,0,0.093406417,0.065682305,0.054751947,1043,97.42289243,199.29,202.69,199.14,200.28,26339500,0,1,0,0,0,0,0
128,-0.010734971,-1,0.082265157,0.064135106,0.08588742,1166,95.92117253,197.81,199.07,194.12,198.13,34908600,0,1,0,0,0,0,0
129,-0.013879776,-1,0.072623418,0.066659341,0.087793669,1008,73.20440573,195.62,197.04,191.01,195.38,41208700,0,1,0,0,0,0,0
132,0,0,0.064637874,0.058935833,0.024207806,1531,98.96058569,186,187.75,181.18,184.03,57430600,0,1,0,0,0,0,0
133,0.015812639,1,0.076060383,0.057234614,0.021545958,1337,101.6927318,184.71,187.97,183.72,186.94,36529700,0,1,0,0,0,0,0
134,0.011982454,1,0.185675581,0.055570464,0.046899419,1392,258.4604094,184.57,190,184.32,189.18,26544700,0,1,0,0,0,0,0
135,-0.004387356,0,0.090529422,0.068751773,0.10879128,1411,127.7370141,188.18,190.71,187.12,188.35,33031400,0,1,0,0,0,0,0
153,0,0,0.084672921,0.04451007,0.021906883,3373,285.601762,174,176.3,168.72,171.72,40396100,0,1,0,0,0,0,0
154,0.036571162,1,0.078762718,0.056606202,0.028224307,2395,188.6367106,173.84,178.19,172.93,178,30968000,0,1,0,0,0,0,0
155,0.016179775,1,0.065660975,0.052919004,0.054478546,1803,118.3867371,182.6,183.3,179.49,180.88,29773400,0,1,0,0,0,0,0
156,0.014650597,1,0.087973174,0.054498588,0.076365538,1314,115.5967513,181.41,183.78,180.49,183.53,22526300,0,1,0,0,0,0,0
157,0.026644145,1,0.095699264,0.054684348,0.077465622,4027,385.3809364,184.81,190.17,184.08,188.42,30684400,0,1,0,0,0,0,0
64,-0.005713956,0,0.048679501,0.053290781,0.042326717,4141,201.5818136,172.41,173.22,171.69,172.27,20810400,0,1,0,0,0,0,0
136,-0.005680913,0,0.069838328,0.069932383,0.117421795,1449,101.1957367,185.23,189.16,185.06,187.28,32879100,0,1,0,0,0,0,0
160,0,0,0.077381482,0.058967007,0.031899755,1296,100.2864003,190.06,193.59,189.87,190.82,26220900,0,1,0,0,0,0,0
161,0.011581595,1,0.080392798,0.057925373,0.025793827,660,53.05924687,193.08,194.21,191.83,193.03,26932900,0,1,0,0,0,0,0
162,-0.003160131,0,0.086744796,0.058158242,0.052591427,1417,122.917376,192.18,194.18,191.63,192.42,18221800,0,1,0,0,0,0,0
181,0,0,0.096841865,0.047209619,0.025344283,1487,144.0038526,201.32,202.63,198.82,199.71,27316700,0,1,0,0,0,0,0
14,0.020484298,1,0.080009746,0.042236967,0.052300347,1087,86.97059373,147.7,150.76,147.48,150.45,28710900,0,1,0,0,0,0,0
65,-0.011609682,-1,0.077386655,0.050163224,0.058553217,3059,236.725778,171.62,172.19,169.8,170.27,24796400,0,1,0,0,0,0,0
66,0.00240794,0,0.058066739,0.048630929,0.063819379,1715,99.58445797,168.12,170.83,167.31,170.68,23999400,0,1,0,0,0,0,0
69,0,0,0.118125158,0.044444721,0.01935558,2728,322.2454317,173.22,176.81,173.08,176.59,32011000,0,1,0,0,0,0,0
70,0.011212413,1,0.115035458,0.052521434,0.039375053,2266,260.6703479,177.67,180.31,177.05,178.57,32467600,0,1,0,0,0,0,0
71,0.004424035,0,0.078969918,0.059613359,0.077720205,884,69.80940777,179.9,180.93,178.58,179.36,31032500,0,1,0,0,0,0,0
72,0.011150758,1,0.113447345,0.063940561,0.104043512,1369,155.3094156,181.52,181.72,180.2,181.36,23579500,0,1,0,0,0,0,0
139,0,0,0.129602466,0.069534513,0.023279443,1597,206.9751375,181.85,182.67,178.64,181.42,38612300,0,1,0,0,0,0,0
140,0.019182009,1,0.08945331,0.078815168,0.043200822,1272,113.7846107,183.53,186.29,183.02,184.9,28364800,0,1,0,0,0,0,0
141,-0.020497566,-1,0.077984913,0.080728444,0.073018592,1660,129.4549558,182.98,184.02,180.89,181.11,29748600,0,1,0,0,0,0,0
142,-0.017061454,-1,0.134558565,0.065344063,0.099013563,1486,199.9540278,178.16,178.89,176.19,178.02,36529700,0,1,0,0,0,0,0
143,-0.003819796,0,0.175050481,0.07163394,0.100665596,1494,261.5254193,178.56,180.48,176.99,177.34,23714700,0,1,0,0,0,0,0
163,-0.000207879,0,0.08193,0.061170216,0.081506359,1634,133.8736204,192.92,195,191.83,192.38,21674600,0,1,0,0,0,0,0
164,-0.007277264,0,0.111102999,0.060306906,0.083022532,2464,273.757789,189.8,191.82,188.56,190.98,18761500,0,1,0,0,0,0,0
167,0,0,0.100610253,0.062507439,0.037034333,1158,116.5066726,191.14,193.18,190.42,192.12,14669100,0,1,0,0,0,0,0
168,0.023526962,1,0.085754331,0.065825835,0.033536751,1142,97.9314458,194.26,198.46,193.43,196.64,26551000,0,1,0,0,0,0,0
169,-0.002898698,0,0.106248092,0.066591768,0.062121528,1299,138.016272,197.86,198.06,195.51,196.07,21124200,0,1,0,0,0,0,0
170,0.008007344,0,0.10040229,0.069377954,0.097537559,1257,126.2056782,198.54,198.78,196.22,197.64,21514000,0,1,0,0,0,0,0
171,-0.003390002,0,0.096481647,0.072016852,0.097468238,2081,200.7783076,196.99,199.02,196.34,196.97,47800600,0,1,0,0,0,0,0
175,0,0,0.062574298,0.055555194,0,1488,93.11055528,196.62,197.44,193.51,193.79,21070300,0,1,0,0,0,0,0
176,0.021621343,1,0.083588762,0.052243761,0.020858099,825,68.96072897,195.97,199.16,195.55,197.98,26067500,0,1,0,0,0,0,0
182,0.005858495,0,0.108922271,0.061044171,0.032280622,1503,163.7101729,199.57,201.28,199.52,200.88,16935200,0,1,0,0,0,0,0
183,0.008313421,0,0.078051136,0.06766531,0.068588045,1426,111.3009197,201.43,202.58,200.84,202.55,11362000,0,1,0,0,0,0,0
185,0,0,0.117814858,0.051406874,0.062324469,1767,208.1788534,201.5,203.21,201.05,202.37,17265500,0,1,0,0,0,0,0
188,0,0,0.051919105,0.057375733,0.039271619,1706,88.5739923,198.98,199.56,196.6,198.2,25338600,0,1,0,0,0,0,0
189,0.00605449,0,0.024687386,0.050958196,0.017306368,1516,37.42607714,197.38,199.67,197,199.4,20578000,0,1,0,0,0,0,0
212,-0.021648508,-1,0.133201385,0.057568374,0.082270073,1852,246.6889649,211.95,216.04,204.85,206.53,54017900,0,1,0,0,0,0,0
213,-0.021159154,-1,0.094886974,0.06262751,0.101151853,1731,164.2493521,203.66,204.55,199.79,202.16,40862100,0,1,0,0,0,0,0
-61,0,0,0.090522351,0,0,1709,154.7026981,214.55,217.79,212.35,217.65,58323200,0,1,0,0,0,0,0
-60,-0.066299104,-2,0.093501798,0.012931764,0.030174117,1631,152.5014328,205.24,209.26,201.21,203.22,91328700,0,1,0,0,0,0,0
-57,0,0,0.062751577,0.026289164,0.031167266,2307,144.7678877,200.1,200.19,194.1,197.45,66163700,0,1,0,0,0,0,0
-56,0.010787541,1,0.115544955,0.035253675,0.020917192,2207,255.007715,197.77,200.51,197.54,199.58,31882900,0,1,0,0,0,0,0
-55,0.030313659,1,0.124818235,0.051760097,0.059432177,1748,218.1822748,201.74,205.74,199.93,205.63,33424400,0,1,0,0,0,0,0
-54,-0.003452804,0,0.195106436,0.069591274,0.101038256,1828,356.6545655,206.38,206.52,203.21,204.92,25362600,0,1,0,0,0,0,0
-53,-0.019275815,-1,0.182564622,0.084531857,0.145156542,1935,353.2625436,202.03,202.48,198.78,200.97,34365800,0,1,0,0,0,0,0
-50,0,0,0.128641305,0.097255118,0.060854874,2226,286.3555441,195.59,196.43,190.47,190.84,51135500,0,1,0,0,0,0,0
-49,-0.009955984,0,0.107517817,0.106667936,0.042880435,1847,198.5854082,188.35,193.8,188.17,188.94,46882900,0,1,0,0,0,0,0
-48,-0.028262941,-1,0.090857789,0.105521202,0.078719707,1806,164.089167,190.58,191.15,182.74,183.6,60801000,0,1,0,0,0,0,0
-47,0.024673203,1,0.088807337,0.10066971,0.109005637,1375,122.1100878,185.16,188.68,183.7,188.13,46478800,0,1,0,0,0,0,0
-46,0.011056185,1,0.160490232,0.085484124,0.095727648,1474,236.5626013,187.24,191.63,186.21,190.21,36928300,0,1,0,0,0,0,0
