,relative_day,company,1_day_sentiment_score,past_7_days_senti_avg,past_3_days_senti_avg,1_day_news_count,1_day_overall_sentiment_score,open,high,low,close,volume
0,120,apple,0.10423681433773016,0.04585905575018429,0.04093122183568141,1474,153.64506433381425,207.17,212.53,206.53,207.8,64827300
1,1,apple,0.07340756185226856,0.040291994541173444,0.031347659359074846,2168,159.14759409571823,152.24,156.13,151.59,155.21,37039700
2,2,apple,0.07335409557404227,0.04241908481365642,0.055816846643164365,1306,95.8004488196992,141.51,143.22,139.57,139.75,91312200
3,8,apple,0.057627515157847226,0.020965951060901544,0.0,783,45.122344368594376,148.7,151.88,147.07,150.68,45099100
4,9,apple,0.0811302104274327,0.018711658675984212,0.01920917171928241,1170,94.92234620009626,149.89,151.33,148.28,151.16,35780700
5,31,apple,0.1091532057008245,0.05389952017600585,0.07519461131738094,546,59.597650312650174,164.1,166.08,163.09,163.67,32668100
6,34,apple,0.06586470720663452,0.05580052679519162,0.03638440190027483,1183,77.91794862544864,164.54,168.72,164.41,168.32,31495500
7,35,apple,0.09016499381254163,0.05722882097994312,0.02195490240221151,1519,136.96062560125074,169.9,172.08,169.4,171.2,36101600
8,36,apple,0.0693429562414421,0.06357430689652456,0.052009900339725385,1618,112.19690319865332,171.66,172.56,169.89,171.25,28239600
9,37,apple,0.044195171896444875,0.05786723729634337,0.07512421908687274,2455,108.49914700577217,169.45,170.96,167.42,168.01,31741700
10,38,apple,0.10742629661019935,0.05410300497969823,0.06790104065014287,2137,229.569995855996,166.81,168.46,166.24,168.21,23820000
11,41,apple,0.08079522335339938,0.0538563036810375,0.035808765536733116,1590,128.464405131905,168.84,169.0,167.06,167.24,20993400
12,42,apple,0.06327052173680023,0.05598923455914676,0.026931741117799793,1846,116.79738312613321,167.9,168.79,167.51,168.68,22283500
13,43,apple,0.09975344997426171,0.05214716711975514,0.04802191503006653,2137,213.17312259499727,169.18,170.25,167.72,167.98,22490200
14,44,apple,0.1350707965269713,0.056491523367300796,0.08127306502148711,1834,247.71984083046533,167.52,169.05,167.19,168.59,21835700
15,45,apple,0.11244608513090883,0.06947375545737601,0.0993649227460111,2079,233.77541098715946,169.04,169.48,167.56,168.22,24626800
16,49,apple,0.13130737851305832,0.0586486933384203,0.0,1822,239.24204365079225,167.52,169.23,167.3,168.72,18972800
17,50,apple,0.09059518352417299,0.06836824430645717,0.04376912617101944,1623,147.03598285973277,168.98,171.08,168.78,169.81,26114400
18,51,apple,0.05949949464506416,0.06705992052787306,0.0739675206790771,2133,126.91242207792186,169.58,170.14,168.1,168.85,17249700
19,52,apple,0.05411107003649488,0.05626402025902918,0.09380068556076515,1941,105.02958694083657,169.36,170.76,169.17,170.74,18913200
20,55,apple,0.09728453132031269,0.047930446674112906,0.018037023345498292,1330,129.38842665601587,171.91,173.6,171.7,171.98,21873400
21,56,apple,0.07525966441390743,0.061828236862729015,0.03242817710677089,1308,98.43964105339091,171.47,173.04,170.93,172.08,17070200
22,57,apple,0.07057240183261416,0.05382142056285031,0.05751473191140671,1530,107.97577480389968,170.97,172.74,170.5,172.61,27835400
23,58,apple,0.08811271649906123,0.050961023178341905,0.08103886585561143,1212,106.79261239686221,172.07,172.65,170.69,170.91,28215400
24,59,apple,0.08737019844172392,0.055048626300341484,0.07798159424852762,921,80.46795276482773,172.03,172.89,170.66,172.71,25886200
25,62,apple,0.061588168264732714,0.05979993035823134,0.02912339948057464,1566,96.44707150257143,173.42,175.45,171.72,173.58,27436200
26,63,apple,0.06539198216335862,0.054700449921719914,0.02052938942157757,959,62.71091089466091,173.67,173.73,172.28,173.26,19737400
27,90,apple,0.08830569317031403,0.03557677311687922,0.02984429013646918,1108,97.84270803270795,189.16,189.2,185.95,188.77,27862000
28,91,apple,0.09761735311401167,0.04819187214120979,0.029435231056771344,823,80.3390816128316,188.62,191.95,188.58,191.51,22765700
29,92,apple,0.08786831575280077,0.06213720830035432,0.0619743487614419,1107,97.27022553835045,190.75,193.96,190.65,192.83,23271800
30,93,apple,0.1423721164326209,0.07468982483646872,0.09126378734570884,1880,267.6595788933273,192.27,193.83,190.64,193.16,19114300
31,94,apple,0.12420043177871978,0.07224233555416497,0.10928592843314444,1627,202.0741025039771,193.91,194.55,193.4,194.45,18526600
32,97,apple,0.11666752798712127,0.07719484432120959,0.041400143926239925,934,108.96747113997127,193.88,197.64,193.8,197.51,25881700
