,relative_day,up_rate,up_cat,company,1_day_sentiment_score,past_7_days_senti_avg,past_3_days_senti_avg,1_day_news_count,1_day_overall_sentiment_score,open,high,low,close,volume
0,-61,0.0,0,microsoft,0.09119050437409816,0.0,0.0,192,17.508576839826848,104.75,105.01,103.26,103.64,33384200
1,-60,0.0023157082207641345,0,microsoft,0.10322741433761172,0.013027214910585451,0.030396834791366054,152,15.690566979316982,104.19,105.01,102.72,103.88,37680200
2,-57,0.0,0,microsoft,0.10786028786028787,0.027773988387387125,0.03440913811253724,195,21.032756132756134,104.08,105.43,103.63,105.2,27922100
3,-56,0.0019961977186311194,0,microsoft,0.09385883311445115,0.04318260093885682,0.03595342928676262,267,25.060308441558455,105.07,106.5,104.0,105.41,24340200
4,-55,0.039275211080542646,1,microsoft,0.0875949666895929,0.0565910056694927,0.06723970699157968,214,18.74532287157288,107.09,109.83,107.05,109.55,37901700
5,-54,-0.0018256503879507334,0,microsoft,0.07446311867145203,0.06910457233943454,0.09643802922144397,195,14.520308140933146,109.4,109.8,108.53,109.35,25644100
6,-53,-0.019478737997256475,-1,microsoft,0.1454701633055291,0.0667149458104851,0.08530563949183202,164,23.857106782106772,108.47,109.06,106.42,107.22,32039200
7,-50,0.0,0,microsoft,0.1372202295958841,0.07274962423447329,0.048490054435176365,191,26.209063852813863,107.07,107.6,103.82,104.57,33621800
8,-49,0.0006694080520226394,0,microsoft,0.08257382477504431,0.07694390162527275,0.04574007653196136,205,16.927634078884083,105.24,106.4,104.35,104.64,35374600
9,-48,-0.01414373088685019,-1,microsoft,0.12088396462043646,0.07533175757678605,0.07326468479030947,231,27.924195827320823,106.23,106.39,102.67,103.16,39495100
10,-47,0.022004652966266094,1,microsoft,0.107527643212167,0.08008732870976372,0.11355933966378828,252,27.096966089466083,103.18,105.94,102.12,105.43,38505200
11,-46,0.009390116665085789,0,microsoft,0.09125211474349404,0.08481083221558014,0.10366181086921593,232,21.170490620490618,105.23,107.0,104.96,106.42,33502100
12,-43,0.0,0,microsoft,0.13255917057479555,0.07706539670671798,0.03041737158116468,240,31.814200937950933,106.4,106.69,101.76,102.81,44773900
13,-42,-0.027721038809454417,-1,microsoft,0.11419360577086958,0.07639953113227675,0.044186390191598514,254,29.005175865800872,100.04,101.19,97.64,99.96,64052500
14,-41,0.013705482192877197,1,microsoft,0.15749388119553864,0.08091664270310894,0.08225092544855504,181,28.506392496392497,101.81,102.63,100.48,101.33,28130600
15,-39,0.0,0,microsoft,0.12123334457750044,0.07078553889781397,0.09056249565546941,154,18.669935064935068,100.41,102.02,100.24,101.29,13823100
16,-36,0.0,0,microsoft,0.13666024653312794,0.07506857173124347,0.04041111485916681,236,32.251818181818194,102.98,104.79,102.78,104.63,32336200
