,relative_day,company,1_day_sentiment_score,past_7_days_senti_avg,past_3_days_senti_avg,1_day_news_count,1_day_overall_sentiment_score,open,high,low,close,volume
0,-61,netflix,0.1114011481923001,0.0,0.0,1133,126.21750090187601,304.59,318.45,296.67,317.38,15121500
1,-60,netflix,0.111200892109732,0.015914449741757156,0.037133716064100035,905,100.63680735930745,318.0,321.88,308.33,309.1,13404600
2,-57,netflix,0.1463576605910723,0.031800291471718874,0.03706696403657733,746,109.18281480093994,311.1,317.53,303.74,315.44,10283000
3,-56,netflix,0.09624133648148916,0.05270852869901491,0.048785886863690765,622,59.86211129148626,314.76,320.22,305.3,310.84,9710400
4,-55,netflix,0.08770973829937535,0.06645729105351336,0.08086633235752048,813,71.30801723739216,312.9,328.56,311.0,327.5,13328300
5,-54,netflix,0.09678395206766897,0.07898725366770985,0.11010291179064562,1064,102.97812499999979,328.0,332.05,316.61,317.92,11023900
6,-53,netflix,0.11230460596691103,0.07689908279276254,0.09357834228284449,898,100.8495361582861,311.07,312.98,298.01,303.47,13480800
7,-50,netflix,0.10528163711606282,0.07705675620093097,0.037434868655637006,801,84.33059132996632,300.0,302.49,290.63,294.07,10924800
8,-49,netflix,0.1084611021807713,0.07118875284735819,0.03509387903868761,680,73.75354948292448,295.0,303.55,289.1,294.4,12232200
9,-48,netflix,0.07816091827896578,0.07293443366154136,0.07124757976561137,863,67.45287247474747,300.4,301.84,278.3,286.73,16853600
10,-47,netflix,0.06035582200429367,0.07157031651576855,0.0973012191919333,1145,69.10741619491625,285.51,292.5,282.16,290.06,9967100
11,-46,netflix,0.16769575918916368,0.06636629793528637,0.08232594748801025,1194,200.22873647186142,287.14,291.72,281.0,286.21,9099500
12,-43,netflix,0.11331460763013955,0.07427931982417961,0.055898586396387895,1072,121.4732593795096,283.79,285.09,269.15,270.6,12993800
13,-42,netflix,0.11564721051826632,0.07542688704047629,0.03777153587671318,824,95.29330146705145,254.63,276.34,250.0,266.98,16693800
14,-41,netflix,0.10650144386655185,0.07645347394583271,0.07632060604946862,834,88.82220418470423,274.42,275.34,261.51,262.13,11023000
15,-39,netflix,0.11010590732700452,0.07187986017201735,0.07404955146160606,679,74.76191107503607,260.11,265.5,256.84,258.82,5245100
16,-36,netflix,0.12557325153479054,0.06365273847742317,0.03670196910900151,1014,127.33127705627761,260.55,266.25,253.8,261.43,12498600
17,-35,netflix,0.13859310637469985,0.06540397332094475,0.04185775051159685,2028,281.0668197278913,259.24,269.08,256.14,266.63,11149500
18,-34,netflix,0.10372388689140953,0.0686819584432924,0.08805545263649679,1558,161.60181577681604,271.98,284.0,263.34,282.65,14801300
19,-33,netflix,0.08878825399817117,0.06828516458970064,0.12263008160029998,1447,128.4766035353537,282.32,290.49,275.5,288.75,15431500
20,-32,netflix,0.10395869289674585,0.08096920087515366,0.11036841575476018,1469,152.71531986531966,288.0,290.81,283.06,286.13,11860100
21,-29,netflix,0.09553497189538844,0.08009102738511671,0.034652897632248617,3000,286.6049156861653,293.19,298.72,284.58,290.3,14117400
22,-28,netflix,0.14465344918327028,0.07579984457948784,0.03184499063179615,2230,322.5771916786927,288.13,295.74,274.72,275.33,12800600
23,-26,netflix,0.1524665675482412,0.06184790971051083,0.08006280702621958,1607,245.0137740500236,268.33,283.22,267.14,282.88,13074300
24,-25,netflix,0.11700423885814684,0.0709448116462351,0.09904000557717048,1452,169.89015482202922,282.48,284.21,263.38,265.14,12466700
25,-8,netflix,-0.032817786336178704,0.0,0.0,1101,-36.132382756132756,242.0,250.65,233.68,233.88,9547600
26,-6,netflix,0.05656932216720681,-0.004688255190882672,-0.010939262112059568,1572,88.9269744468491,233.92,254.5,231.23,253.67,14402700
27,-5,netflix,0.08436456954626696,0.0033930765472897292,0.007917178610342702,1788,150.84385034872534,250.11,255.59,240.1,255.57,12235200
28,-4,netflix,0.08726444980550051,0.015445157911042149,0.04697796390449125,3045,265.72024965774904,257.94,261.91,249.8,256.08,10992800
29,-1,netflix,0.1012942921192511,0.027911507883256508,0.029088149935166837,1841,186.48279179154127,260.16,270.1,260.0,267.66,13508900
30,1,netflix,0.05774449632238653,0.047070376234032194,0.033764764039750365,2197,126.86465842028322,259.28,269.75,256.58,267.66,11679500
31,2,netflix,0.027790578044749072,0.047238258256200726,0.053012929480545874,959,26.65116434491436,270.2,275.79,264.43,271.2,14969600
32,8,netflix,0.12076746494350518,0.012219296338162228,0.0,889,107.36227633477611,317.71,323.35,313.5,319.96,13343200
33,9,netflix,0.1039737473996674,0.021222577569750607,0.04025582164783506,1576,163.86262590187582,314.57,325.37,312.5,324.66,13472500
34,13,netflix,0.07480952380952381,0.03210588747759608,0.0,70,5.236666666666667,334.24,335.48,329.13,332.94,10499600
35,14,netflix,0.012138384788150531,0.042792962307528055,0.024936507936507937,2241,27.20212031024534,349.6,357.22,347.0,354.64,21181200
36,15,netflix,0.033043505667559224,0.04452701727726384,0.02898263619922478,1849,61.097441979317004,354.0,358.85,348.11,351.39,15385500
37,16,netflix,0.07881956372647858,0.03199502309498586,0.03999713808841119,1739,137.06722132034625,349.5,355.79,346.41,353.19,18871200
38,17,netflix,0.1102570311138916,0.028401568284530308,0.04133381806072945,1709,188.42926617364074,351.97,353.0,336.73,339.1,26621000
39,21,netflix,0.1014901022995209,0.03346549789943999,0.0,1359,137.9250490250489,334.89,336.88,321.03,325.16,17941400
40,22,netflix,0.06342542024984216,0.0462300289724929,0.033830034099840305,1211,76.80818392255885,328.25,331.75,318.6,321.99,13480100
41,23,netflix,0.06963487644754969,0.050570302484247605,0.054971840849787686,2166,150.82914238539263,320.6,331.8,319.0,326.67,11131600
42,24,netflix,0.07464009036559627,0.04925820430154348,0.07818346633230425,1878,140.1740897065898,328.72,340.0,328.51,338.05,11152900
43,27,netflix,0.07192610008127241,0.04417006990892986,0.02488003012186542,1073,77.1767053872053,334.7,336.3,328.88,335.66,8652100
44,28,netflix,0.06644718972718396,0.05444522706339735,0.02397536669375747,871,57.87550225237723,335.87,338.22,328.15,328.9,7655200
45,29,netflix,0.1112521626825917,0.049439096695920635,0.04612442993615212,1394,155.08551477953282,332.75,341.78,330.8,340.66,9234500
46,30,netflix,0.10450692924623403,0.05627148847202772,0.08320848416368269,561,58.628387307137295,339.68,345.99,338.09,339.5,8535500
