,relative_day,up_rate,up_cat,company,1_day_sentiment_score,past_7_days_senti_avg,past_3_days_senti_avg,1_day_news_count,1_day_overall_sentiment_score,open,high,low,close,volume
0,1,0.0,0,amazon,0.1654101346251564,0.08557414004330621,0.05983878706080741,922,152.50814412439422,1465.2,1553.36,1460.93,1539.13,7983100
1,2,-0.025241532554105328,-1,amazon,0.1622829827727321,0.08860352808265645,0.1149754986025262,439,71.24222943722938,1520.01,1538.0,1497.11,1500.28,6975600
2,8,0.0,0,amazon,0.14115627336543163,0.04681330248541265,0.0,606,85.54070165945157,1652.98,1667.8,1641.4,1659.42,6348800
3,9,-0.0019283846163117508,0,amazon,0.11871949032991372,0.043348465162594815,0.047052091121810545,1535,182.23441765641755,1641.01,1663.25,1621.62,1656.22,6507700
4,14,0.035462308543726485,1,amazon,-0.08557815295184064,0.04594207338504933,0.02057291666666666,1143,-97.81582882395385,1632.0,1675.16,1626.01,1674.56,5998500
5,31,-0.053818808073403036,-2,amazon,0.19770673559379123,0.10805502312378047,0.13293578967762418,394,77.89645382395375,1638.88,1673.06,1622.01,1626.23,11506200
6,34,0.0,0,amazon,0.1895136221214786,0.11160922596827273,0.0659022451979304,1101,208.65449795574793,1623.0,1649.63,1613.5,1633.31,4929100
7,35,0.015612467933215373,1,amazon,0.13923488407482304,0.11228967524973463,0.0631712073738262,1066,148.42438642376135,1643.34,1665.26,1642.5,1658.81,4453100
8,36,-0.01118271532001854,-1,amazon,0.10230729530902948,0.11390356271575626,0.10958283539876722,1009,103.22806096681074,1670.75,1672.26,1633.34,1640.26,3939900
9,37,-0.015784083011229987,-1,amazon,0.10819717176195083,0.10950749052186948,0.1436852671684437,1289,139.46615440115463,1625.0,1625.54,1592.91,1614.37,4626600
10,38,-0.01619826929390404,-1,amazon,0.13392717813850655,0.10527995840872474,0.11657978371526778,1558,208.65854353979321,1586.0,1588.59,1566.76,1588.22,5657500
11,41,0.0,0,amazon,0.13189422415430824,0.09616859305796978,0.044642392712835516,1190,156.9541267436268,1600.98,1609.29,1586.0,1591.0,3317300
12,42,0.029547454431175357,1,amazon,0.17245622471142305,0.08793725049123116,0.04396474138476941,1034,178.31973635161143,1604.0,1639.4,1598.88,1638.01,4858600
13,43,0.0012148887979926918,0,amazon,0.1355737966648714,0.09268315629645973,0.10145014962191042,1168,158.3501945045698,1647.0,1656.38,1637.11,1640.0,3560300
14,44,-0.010579268292682872,-1,amazon,0.09473794624557072,0.09743551363300859,0.14664141517686755,3803,360.28840957190545,1624.5,1637.9,1606.06,1622.65,4120500
15,45,-0.00905925492250334,0,amazon,0.09442679002628426,0.09551276713066856,0.1342559892072884,3465,327.188827441075,1627.86,1628.91,1604.5,1607.95,4343900
16,49,0.0,0,amazon,0.12326013161155379,0.07102782252116421,0.0,1283,158.1427488576235,1601.0,1634.0,1600.56,1627.58,3681700
17,50,-0.003366961992651678,0,amazon,0.11413980077027885,0.06399980922118288,0.041086710537184594,1255,143.24544996669997,1630.0,1634.93,1610.12,1622.1,3337600
18,51,-0.0016398495777078198,0,amazon,0.13616982357371193,0.06093780980766967,0.07913331079394421,1138,154.96125922688418,1619.85,1623.56,1600.91,1619.44,3483400
19,52,0.007484068566911951,0,amazon,0.12575361134083665,0.06685664942597555,0.12452325198518154,1092,137.32294358419364,1623.5,1634.94,1621.17,1631.56,3096200
20,55,0.0,0,amazon,0.15430476032605922,0.07133190961376876,0.04191787044694555,895,138.102760491823,1641.45,1654.6,1630.39,1633.0,3184500
21,56,0.0020820575627679676,0,amazon,0.12554204671181907,0.09337544680320578,0.05143492010868641,966,121.27361712361723,1625.98,1639.99,1616.13,1636.4,2665800
