,relative_day,up_rate,up_cat,company,1_day_sentiment_score,past_7_days_senti_avg,past_3_days_senti_avg,1_day_news_count,1_day_overall_sentiment_score,1_day_bert_sentiment_score,1_day_overall_bert_sentiment_score,open,high,low,close,volume
0,-61,0.0,0,facebook,0.0662038084847551,0.0,0.0,2060,136.3798454785955,{'$numberInt': '0'},{'$numberInt': '0'},151.52,152.75,149.35,151.75,25640800
1,-60,-0.009225700164744683,0,facebook,0.06445277833065208,0.009457686926393585,0.022067936161585033,1740,112.1478342953346,{'$numberInt': '0'},{'$numberInt': '0'},151.8,154.13,148.96,150.35,24708700
2,-57,0.0,0,facebook,0.05182639218528561,0.01866522668791531,0.02148425944355069,1979,102.56443013468022,{'$numberInt': '0'},{'$numberInt': '0'},150.1,150.19,147.44,148.68,15971200
3,-56,0.00847457627118638,0,facebook,0.06232770403806092,0.02606899700009897,0.01727546406176187,2018,125.77730674880694,{'$numberInt': '0'},{'$numberInt': '0'},149.31,150.97,148.0,149.94,16667100
4,-55,0.010604241696678694,1,facebook,0.06057647197379369,0.03497295471982196,0.03805136540778218,1820,110.24917899230452,{'$numberInt': '0'},{'$numberInt': '0'},151.57,153.01,149.83,151.53,21877400
5,-54,-0.024153632943971468,-1,facebook,0.06483900918115296,0.04362673643036392,0.05824352273238007,1712,111.00438371813385,{'$numberInt': '0'},{'$numberInt': '0'},150.49,150.94,146.74,147.87,24145800
6,-53,-0.019679448163927752,-1,facebook,0.07023509450431442,0.0434317651012779,0.06258106173100253,1743,122.41976972102003,{'$numberInt': '0'},{'$numberInt': '0'},146.75,147.76,144.07,144.96,17326900
7,-50,0.0,0,facebook,0.0315373709458531,0.044257810268943945,0.023411698168104806,3444,108.61470553751808,{'$numberInt': '0'},{'$numberInt': '0'},144.48,145.04,140.49,141.55,18542100
8,-49,0.004309431296361605,0,facebook,0.046565860672083154,0.04135937866331073,0.010512456981951033,2716,126.47287758537784,{'$numberInt': '0'},{'$numberInt': '0'},142.0,144.88,141.62,142.16,15141700
9,-48,0.014490714687675875,1,facebook,0.037487985094121885,0.03910768675388533,0.026034410539312085,2485,93.15764295889288,{'$numberInt': '0'},{'$numberInt': '0'},143.7,145.58,141.55,144.22,22068400
