,relative_day,company,1_day_sentiment_score,past_7_days_senti_avg,past_3_days_senti_avg,1_day_news_count,1_day_overall_sentiment_score,open,high,low,close,volume
0,-61,tesla,-0.10273125853453034,0.0,0.0,596,-61.227830086580084,338.26,347.84,334.73,344.28,8000100
1,-60,tesla,-0.009793202919924679,-0.014675894076361478,-0.03424375284484345,363,-3.5549326599326583,343.74,349.2,340.91,346.41,7808000
2,-57,tesla,0.04646927146927148,-0.016074923064922145,-0.0032644009733082263,273,12.686111111111115,340.5,343.96,330.14,341.4,7831000
3,-56,tesla,0.10870700897438865,-0.009436455712169075,0.015489757156423827,187,20.328210678210677,339.07,348.8,336.09,341.06,6762900
4,-55,tesla,0.13119021206967632,0.006093116998457875,0.05172542681455338,140,18.366629689754685,343.34,351.18,340.8,348.16,7374500
5,-54,tesla,0.09176249812725232,0.024834575865554487,0.09545549750444549,305,27.987561928811957,348.5,357.58,348.44,351.4,7090700
6,-53,tesla,0.07079090960811393,0.052619398245809156,0.11055323972377244,279,19.75066378066379,349.0,354.0,345.23,350.51,5098800
7,-50,tesla,0.06606347135055271,0.06413141432124325,0.02359696986937131,209,13.807265512265516,348.37,349.78,330.34,331.28,6941500
8,-49,tesla,0.10073130671117952,0.06693058573285485,0.022021157116850903,236,23.772588383838368,333.16,344.7,332.2,338.73,5448600
9,-48,tesla,0.07394346141613901,0.06579119969525353,0.055598259353910745,183,13.53165343915344,342.7,347.11,337.15,344.0,5040300
10,-47,tesla,0.07964665653495438,0.057613092459033934,0.08024607982595708,188,14.973571428571425,342.33,348.58,339.04,348.44,4625700
11,-46,tesla,0.09865468269238113,0.05588225794584851,0.08477380822075764,252,24.860980038480044,345.19,355.7,345.12,354.31,7206200
12,-43,tesla,0.15314253140202497,0.05986279695788669,0.03288489423079371,237,36.294779942279916,356.34,366.75,352.88,353.47,9708900
13,-42,tesla,0.0970743661100804,0.07230266267952556,0.051047510467341656,140,13.590411255411256,341.75,349.8,333.55,347.49,8004700
