relative_day,up_rate,up_cat,1_day_sentiment_score,1_day_news_count,past_7_days_senti_avg,past_3_days_senti_avg,1_day_overall_sentiment_score,open,high,low,close,volume,company_amazon,company_apple,company_facebook,company_google,company_microsoft,company_netflix,company_tesla
120,0.04907108239095314,1,0.10423681433773016,1474,0.04585905575018429,0.04093122183568141,153.64506433381425,207.17,212.53,206.53,207.8,64827300,0,1,0,0,0,0,0
1,0.0,0,0.07340756185226856,2168,0.040291994541173444,0.031347659359074846,159.14759409571823,152.24,156.13,151.59,155.21,37039700,0,1,0,0,0,0,0
2,-0.09960698408607697,-2,0.07335409557404227,1306,0.04241908481365642,0.055816846643164365,95.8004488196992,141.51,143.22,139.57,139.75,91312200,0,1,0,0,0,0,0
8,0.0,0,0.057627515157847226,783,0.020965951060901544,0.0,45.122344368594376,148.7,151.88,147.07,150.68,45099100,0,1,0,0,0,0,0
9,0.0031855588001061174,0,0.0811302104274327,1170,0.018711658675984212,0.01920917171928241,94.92234620009626,149.89,151.33,148.28,151.16,35780700,0,1,0,0,0,0,0
31,0.0004890274466653468,0,0.1091532057008245,546,0.05389952017600585,0.07519461131738094,59.597650312650174,164.1,166.08,163.09,163.67,32668100,0,1,0,0,0,0,0
34,0.0,0,0.06586470720663452,1183,0.05580052679519162,0.03638440190027483,77.91794862544864,164.54,168.72,164.41,168.32,31495500,0,1,0,0,0,0,0
35,0.01711026615969579,1,0.09016499381254163,1519,0.05722882097994312,0.02195490240221151,136.96062560125074,169.9,172.08,169.4,171.2,36101600,0,1,0,0,0,0,0
36,0.0002920560747664216,0,0.0693429562414421,1618,0.06357430689652456,0.052009900339725385,112.19690319865332,171.66,172.56,169.89,171.25,28239600,0,1,0,0,0,0,0
37,-0.018919708029197135,-1,0.044195171896444875,2455,0.05786723729634337,0.07512421908687274,108.49914700577217,169.45,170.96,167.42,168.01,31741700,0,1,0,0,0,0,0
38,0.0011904053330159935,0,0.10742629661019935,2137,0.05410300497969823,0.06790104065014287,229.569995855996,166.81,168.46,166.24,168.21,23820000,0,1,0,0,0,0,0
41,0.0,0,0.08079522335339938,1590,0.0538563036810375,0.035808765536733116,128.464405131905,168.84,169.0,167.06,167.24,20993400,0,1,0,0,0,0,0
42,0.008610380291796208,0,0.06327052173680023,1846,0.05598923455914676,0.026931741117799793,116.79738312613321,167.9,168.79,167.51,168.68,22283500,0,1,0,0,0,0,0
43,-0.0041498695755277275,0,0.09975344997426171,2137,0.05214716711975514,0.04802191503006653,213.17312259499727,169.18,170.25,167.72,167.98,22490200,0,1,0,0,0,0,0
44,0.0036313846886534924,0,0.1350707965269713,1834,0.056491523367300796,0.08127306502148711,247.71984083046533,167.52,169.05,167.19,168.59,21835700,0,1,0,0,0,0,0
45,-0.0021946734681772616,0,0.11244608513090883,2079,0.06947375545737601,0.0993649227460111,233.77541098715946,169.04,169.48,167.56,168.22,24626800,0,1,0,0,0,0,0
49,0.0,0,0.13130737851305832,1822,0.0586486933384203,0.0,239.24204365079225,167.52,169.23,167.3,168.72,18972800,0,1,0,0,0,0,0
50,0.00646040777619727,0,0.09059518352417299,1623,0.06836824430645717,0.04376912617101944,147.03598285973277,168.98,171.08,168.78,169.81,26114400,0,1,0,0,0,0,0
51,-0.0056533773040457445,0,0.05949949464506416,2133,0.06705992052787306,0.0739675206790771,126.91242207792186,169.58,170.14,168.1,168.85,17249700,0,1,0,0,0,0,0
52,0.011193366893692715,1,0.05411107003649488,1941,0.05626402025902918,0.09380068556076515,105.02958694083657,169.36,170.76,169.17,170.74,18913200,0,1,0,0,0,0,0
55,0.0,0,0.09728453132031269,1330,0.047930446674112906,0.018037023345498292,129.38842665601587,171.91,173.6,171.7,171.98,21873400,0,1,0,0,0,0,0
56,0.0005814629608095287,0,0.07525966441390743,1308,0.061828236862729015,0.03242817710677089,98.43964105339091,171.47,173.04,170.93,172.08,17070200,0,1,0,0,0,0,0
57,0.0030799628079962874,0,0.07057240183261416,1530,0.05382142056285031,0.05751473191140671,107.97577480389968,170.97,172.74,170.5,172.61,27835400,0,1,0,0,0,0,0
58,-0.009848792074619181,0,0.08811271649906123,1212,0.050961023178341905,0.08103886585561143,106.79261239686221,172.07,172.65,170.69,170.91,28215400,0,1,0,0,0,0,0
59,0.010531858873091167,1,0.08737019844172392,921,0.055048626300341484,0.07798159424852762,80.46795276482773,172.03,172.89,170.66,172.71,25886200,0,1,0,0,0,0,0
62,0.0,0,0.061588168264732714,1566,0.05979993035823134,0.02912339948057464,96.44707150257143,173.42,175.45,171.72,173.58,27436200,0,1,0,0,0,0,0
63,-0.0018435303606407511,0,0.06539198216335862,959,0.054700449921719914,0.02052938942157757,62.71091089466091,173.67,173.73,172.28,173.26,19737400,0,1,0,0,0,0,0
90,0.0,0,0.08830569317031403,1108,0.03557677311687922,0.02984429013646918,97.84270803270795,189.16,189.2,185.95,188.77,27862000,0,1,0,0,0,0,0
91,0.014515018276209041,1,0.09761735311401167,823,0.04819187214120979,0.029435231056771344,80.3390816128316,188.62,191.95,188.58,191.51,22765700,0,1,0,0,0,0,0
92,0.006892590465249969,0,0.08786831575280077,1107,0.06213720830035432,0.0619743487614419,97.27022553835045,190.75,193.96,190.65,192.83,23271800,0,1,0,0,0,0,0
93,0.0017113519680546805,0,0.1423721164326209,1880,0.07468982483646872,0.09126378734570884,267.6595788933273,192.27,193.83,190.64,193.16,19114300,0,1,0,0,0,0,0
94,0.006678401325326114,0,0.12420043177871978,1627,0.07224233555416497,0.10928592843314444,202.0741025039771,193.91,194.55,193.4,194.45,18526600,0,1,0,0,0,0,0
97,0.0,0,0.11666752798712127,934,0.07719484432120959,0.041400143926239925,108.96747113997127,193.88,197.64,193.8,197.51,25881700,0,1,0,0,0,0,0
98,-0.0029871905219989035,0,0.11501528548647229,1744,0.08124653500932491,0.03888917599570709,200.58665788840767,197.73,200.23,196.66,196.92,35768200,0,1,0,0,0,0,0
99,0.0056368068251067115,0,0.09051441909679028,1689,0.08373195391967643,0.07722760449119785,152.8788538544788,196.11,198.15,195.62,198.03,21695300,0,1,0,0,0,0,0
100,-0.008332070898348764,0,0.06715570292386656,1748,0.08410996868310351,0.10739907752346128,117.38816871091875,198.26,198.4,195.88,196.38,20900800,0,1,0,0,0,0,0
101,-0.0004073734596190248,0,0.03299234447834658,6769,0.07336476675328145,0.0908951358357097,223.32517977392797,196.63,197.55,193.67,196.3,27760700,0,1,0,0,0,0,0
104,0.0,0,0.05131281400005902,1960,0.060335039996085284,0.010997448159448859,100.57311544011569,196.01,197.27,195.45,196.66,17536600,0,1,0,0,0,0,0
105,0.00010169836265641326,0,0.06439286515357062,3266,0.05099865228364782,0.017104271333353006,210.30709759156164,196.88,198.77,195.99,196.68,25696400,0,1,0,0,0,0,0
106,0.019473256050437177,1,0.09446850693499337,2443,0.04376687795037615,0.038568559717876545,230.7865624421888,196.96,200.75,196.04,200.51,28906800,0,1,0,0,0,0,0
107,0.0035908433494588744,0,0.08584529200243306,2349,0.04433174764154802,0.070058062029541,201.65059091371526,200.5,201.51,199.9,201.23,24195800,0,1,0,0,0,0,0
111,0.0,0,0.1066983152254389,1848,0.04228849687015087,0.0,197.1784865366111,200.21,202.29,199.73,201.89,19439500,0,1,0,0,0,0,0
112,0.01441378968745369,1,0.09419979290883124,1773,0.05020071133091942,0.0355661050751463,167.01623282735778,201.79,205.07,201.27,204.8,23323000,0,1,0,0,0,0,0
113,-0.0015625000000001055,0,0.05889228058216513,1992,0.05445884386738522,0.06696603604475672,117.31342291967293,204.68,205.79,204.37,204.48,17540600,0,1,0,0,0,0,0
114,-0.009047339593114214,0,0.08391263561113092,1728,0.04937652581698119,0.08659679623881174,145.00103433603422,204.16,205.08,202.47,202.63,18543200,0,1,0,0,0,0,0
115,-0.004787050288703543,0,0.055414808550949775,2300,0.049100432046795164,0.0790015697007091,127.45405966718448,202.25,202.35,199.51,201.66,18649100,0,1,0,0,0,0,0
118,0.0,0,0.043156773537638624,1705,0.05701683326835943,0.01847160285031659,73.58229888167385,201.76,203.31,201.23,201.97,22204700,0,1,0,0,0,0,0
119,-0.01926028618111594,-1,0.07963689196940561,1474,0.04793947017010224,0.014385591179212875,117.38477876290388,200.44,200.77,196.54,198.08,46534900,0,1,0,0,0,0,0
121,-0.006496631376323497,0,0.06459550944774231,1142,0.05233684628669359,0.07567682661492481,73.76807178932172,207.13,209.9,205.44,206.45,31996300,0,1,0,0,0,0,0
122,0.012400096875756854,1,0.1266879715322518,1473,0.049577256834780925,0.08282307191829269,186.61138206700693,208.17,209.1,207.51,209.01,20892400,0,1,0,0,0,0,0
125,0.0,0,0.07654640738918227,1346,0.05975913726068122,0.042229323844083934,103.03146434583934,201.65,206.14,200.87,205.79,32443100,0,1,0,0,0,0,0
126,-0.02696924048787591,-1,0.08770943459930133,1051,0.06452908495375888,0.025515469129727422,92.1826157638657,203.22,204.74,198.24,200.24,38763700,0,1,0,0,0,0,0
127,0.00019976028765477448,0,0.0934064165212294,1043,0.06568230532945826,0.05475194732949453,97.42289243164227,199.29,202.69,199.14,200.28,26339500,0,1,0,0,0,0,0
128,-0.010734971040543268,-1,0.08226515654474478,1166,0.06413510564138673,0.08588741950323768,95.92117253117242,197.81,199.07,194.12,198.13,34908600,0,1,0,0,0,0,0
129,-0.01387977590470903,-1,0.07262341838606716,1008,0.06665934094095852,0.0877936692217585,73.2044057331557,195.62,197.04,191.01,195.38,41208700,0,1,0,0,0,0,0
132,0.0,0,0.0646378743876295,1531,0.05893583334864642,0.024207806128689054,98.96058568746076,186.0,187.75,181.18,184.03,57430600,0,1,0,0,0,0,0
133,0.01581263924360157,1,0.07606038278392416,1337,0.0572346143484246,0.02154595812920983,101.69273178210659,184.71,187.97,183.72,186.94,36529700,0,1,0,0,0,0,0
134,0.011982454263400071,1,0.18567558145279056,1392,0.055570464089084996,0.04689941905718455,258.46040938228447,184.57,190.0,184.32,189.18,26544700,0,1,0,0,0,0,0
135,-0.00438735595728942,0,0.0905294217522246,1411,0.06875177336502232,0.10879127954144807,127.7370140923889,188.18,190.71,187.12,188.35,33031400,0,1,0,0,0,0,0
153,0.0,0,0.08467292084528172,3373,0.044510069985785536,0.021906882864082596,285.60176201113524,174.0,176.3,168.72,171.72,40396100,0,1,0,0,0,0,0
154,0.03657116235732589,1,0.07876271842477423,2395,0.05660620153511149,0.02822430694842724,188.63671062733425,173.84,178.19,172.93,178.0,30968000,0,1,0,0,0,0,0
155,0.01617977528089885,1,0.06566097454547275,1803,0.052919004248385075,0.05447854642335198,118.38673710548736,182.6,183.3,179.49,180.88,29773400,0,1,0,0,0,0,0
156,0.01465059708093767,1,0.08797317447336461,1314,0.05449858822136443,0.07636553793850957,115.5967512580011,181.41,183.78,180.49,183.53,22526300,0,1,0,0,0,0,0
157,0.026644145371328865,1,0.09569926406792954,4027,0.0546843481258773,0.07746562248120387,385.3809364015523,184.81,190.17,184.08,188.42,30684400,0,1,0,0,0,0,0
64,-0.00571395590442099,0,0.04867950099083874,4141,0.05329078102878437,0.04232671680936378,201.5818136030632,172.41,173.22,171.69,172.27,20810400,0,1,0,0,0,0,0
136,-0.005680913193522661,0,0.06983832757228177,1449,0.06993238268037656,0.11742179532964643,101.19573665223629,185.23,189.16,185.06,187.28,32879100,0,1,0,0,0,0,0
160,0.0,0,0.0773814817227241,1296,0.05896700747954613,0.03189975468930985,100.28640031265044,190.06,193.59,189.87,190.82,26220900,0,1,0,0,0,0,0
161,0.01158159522062681,1,0.08039279829317705,660,0.05792537331918075,0.025793827240908035,53.05924687349685,193.08,194.21,191.83,193.03,26932900,0,1,0,0,0,0,0
162,-0.0031601305496555647,0,0.08674479605054751,1417,0.05815824187180973,0.052591426671967055,122.91737600362582,192.18,194.18,191.63,192.42,18221800,0,1,0,0,0,0,0
181,0.0,0,0.09684186456336792,1487,0.047209619004787665,0.02534428253763826,144.0038526057281,201.32,202.63,198.82,199.71,27316700,0,1,0,0,0,0,0
14,0.02048429763277475,1,0.08000974584633742,1087,0.04223696675027807,0.05230034722222221,86.97059373496879,147.7,150.76,147.48,150.45,28710900,0,1,0,0,0,0,0
65,-0.011609682475184303,-1,0.0773866551159783,3059,0.0501632237656736,0.05855321713964335,236.7257779997776,171.62,172.19,169.8,170.27,24796400,0,1,0,0,0,0,0
66,0.002407940330063996,0,0.05806673934261399,1715,0.04863092928237605,0.06381937942339189,99.584457972583,168.12,170.83,167.31,170.68,23999400,0,1,0,0,0,0,0
69,0.0,0,0.1181251582470425,2728,0.044444720839646054,0.01935557978087133,322.24543169793196,173.22,176.81,173.08,176.59,32011000,0,1,0,0,0,0,0
